frame, x, y, z
1,175,100,1247
1,210.216,100.457,1252
1,245.522,101.112,1261
1,280.902,102.011,1261
1,316.497,103.014,1261
1,352.806,103.957,1261
1,389.508,104.805,1265
1,426.638,105.487,1270
1,464,106,1275
1,175.149,120.98,1265
1,210.247,121.699,1247
1,245.445,122.687,1252
1,280.73,123.868,1261
1,316.169,125.092,1261
1,351.971,126.253,1256
1,388.065,127.305,1256
1,424.579,128.173,1261
1,461.489,128.813,1275
1,175.4,141.886,1256
1,210.37,142.916,1247
1,245.454,144.337,1243
1,280.696,145.815,1256
1,316.007,147.238,1256
1,351.263,148.595,1256
1,386.637,149.843,1256
1,422.357,150.916,1256
1,458.753,151.686,1275
1,175.696,163.076,1252
1,210.509,164.449,1247
1,245.434,166.27,1243
1,280.615,167.979,1243
1,315.858,169.522,1243
1,350.63,171.006,1247
1,385.417,172.373,1243
1,420.462,173.593,1256
1,456.356,174.479,1261
1,176,185,1243
1,210.607,186.671,1243
1,245.277,188.681,1247
1,280.267,190.476,1243
1,315.482,192.021,1238
1,349.968,193.511,1247
1,384.595,194.846,1243
1,419.447,196.054,1247
1,455,197,1252
1,176.286,208.372,1243
1,210.641,209.785,1243
1,244.944,211.64,1247
1,279.53,213.354,1238
1,314.423,214.825,1238
1,349.213,216.127,1238
1,384.268,217.242,1238
1,419.643,218.212,1238
1,455.808,218.921,1252
1,176.562,232.458,1238
1,210.632,233.562,1243
1,244.501,235.046,1225
1,278.576,236.539,1229
1,313.187,237.829,1229
1,348.502,238.827,1238
1,384.407,239.583,1234
1,420.767,240.167,1229
1,457.686,240.586,1238
1,176.823,256.792,1229
1,210.611,257.606,1247
1,244.087,258.676,1225
1,277.707,259.88,1221
1,312.093,260.933,1229
1,348.04,261.566,1234
1,384.895,261.918,1234
1,422.297,262.088,1229
1,459.946,262.212,1234
1,177,281,1221
1,210.582,281.558,1252
1,243.843,282.29,1238
1,277.243,283.199,1225
1,311.49,284.008,1216
1,348.031,284.286,1225
1,385.6,284.294,1221
1,423.75,284.139,1221
1,462,284,1229
2,175.01,101.981,1247
2,210.554,101.924,1252
2,246.151,102.014,1261
2,281.754,102.392,1261
2,317.498,103.012,1261
2,353.773,104.018,1265
2,390.431,105.082,1265
2,427.566,106.084,1270
2,464.989,106.989,1275
2,175.446,122.448,1265
2,210.764,122.799,1247
2,246.11,123.407,1252
2,281.475,124.25,1261
2,316.941,125.23,1261
2,352.689,126.375,1256
2,388.734,127.505,1261
2,425.243,128.538,1261
2,462.207,129.462,1275
2,176.023,142.781,1261
2,211.089,143.619,1247
2,246.138,144.913,1247
2,281.287,146.304,1252
2,316.501,147.648,1256
2,351.697,148.901,1256
2,387.04,150.042,1256
2,422.75,151.076,1256
2,459.191,151.987,1275
2,176.596,163.44,1256
2,211.372,164.81,1247
2,246.092,166.76,1243
2,281.031,168.627,1243
2,316.073,170.253,1247
2,350.8,171.548,1247
2,385.584,172.648,1247
2,420.616,173.65,1256
2,456.54,174.523,1261
2,177.003,184.998,1247
2,211.456,186.84,1247
2,245.839,189.148,1247
2,280.525,191.259,1243
2,315.48,193.021,1238
2,349.956,194.263,1247
2,384.596,195.264,1247
2,419.435,196.177,1247
2,455,197,1252
2,176.976,208.408,1243
2,211.252,209.979,1238
2,245.331,212.149,1247
2,279.678,214.189,1238
2,314.38,215.853,1238
2,349.135,217.007,1238
2,384.19,217.856,1238
2,419.555,218.597,1238
2,455.752,219.281,1252
2,176.718,232.756,1234
2,210.833,233.952,1243
2,244.648,235.655,1225
2,278.639,237.38,1229
2,313.172,238.814,1234
2,348.441,239.789,1238
2,384.318,240.435,1234
2,420.669,240.953,1234
2,457.635,241.482,1243
2,176.373,257.444,1229
2,210.34,258.272,1243
2,243.957,259.429,1221
2,277.673,260.746,1221
2,312.111,261.891,1229
2,348.017,262.619,1234
2,384.824,263.04,1229
2,422.221,263.335,1229
2,459.925,263.697,1238
2,176,282,1225
2,209.882,282.5,1247
2,243.432,283.221,1234
2,277.072,284.153,1221
2,311.491,285.009,1216
2,348.011,285.478,1225
2,385.537,285.703,1221
2,423.689,285.824,1221
2,462,286.02,1229
3,175.001,101.99,1247
3,210.516,101.914,1252
